Principal Component,City
-6.850254902970841,Bogotá
-2.254291488658574,Medellín
-1.289860705902846,Cali
-0.5559990515941915,Barranquilla
-0.22215487242440513,Cartagena
0.13264056638697544,Bucaramanga (test)
0.2255284302901092,Pereira
0.11640000323926362,Cúcuta (test)
0.24950729837728908,Ibagué (test)
0.2837149217043897,Santa Marta
0.33878373663741024,Manizales
0.3124044862854519,Villavicencio
0.34981985412948724,Pasto
0.3357778326835147,Montería
0.35363312033553895,Valledupar
0.42826201546057036,Neiva
0.44611730311259457,Popayán
0.46928880894761826,Armenia
0.48353267095662983,Sincelejo
0.5067041767916535,Tunja
0.5368966933496635,Florencia
0.5334871082696899,Riohacha
0.5885559232027102,Quibdó
0.6187484397607201,San Andrés
0.5851463381227366,Yopal
0.6419199455957438,Leticia
0.6295827166897582,Arauca (test)
0.6544590150647686,Mocoa (test)
0.6740190952567797,Mitú
0.6776305208997924,Puerto Carreño (test)
